Brand,philosophy,slogan,tone,Keyword,product,ingredients,copy
헤라,헤라가 추구하는 아름다움에 대한 신념은 나 자신의 본질에 있습니다.,CONTEMPORARY SEOUL BEAUTY,"도시적이고 세련되지만, 결코 과장되지 않은 당당함",서울리스타,블랙쿠션,"자스민꽃추출물, 히알루론산, 콘민트잎추출물","쿠션의 근본, luxury no.1 쿠션, 얇고 가볍게 밀착되는 24시간 블러리 커버, 얇지만 확실한 24시간 메이크업 라스팅, 다크닝 없이 깨끗하게 지속되는 피부, 맑고 깨끗한 피부 톤 하루종일 유지, 스킨케어링 베이스 "
헤라,"서울리스타의 아름다움, 그 중심엔 자기주도적이고 능동적인 삶의 태도가 있습니다.","유연하지만 견고하게, 나만의 다채로운 아름다움을 발굴하는 헤라의 뷰티 루틴",,나다움,UV 프로텍터 톤업,,"생기톤업, 광노화 UV에이징, 투명하게 빛나는 피부, 피부에 순한 저자극 선크림, 주름&미백&자외선 3중 기능성, 주름&탄력&브라이트닝 케어, 5-defense system으로 강력한 피부 보호"
헤라,"빠르게 변화하는 도시 속에서 자신의 모든 가능성을 열어두고 한계를 제한하지 않으며, 깨어있는 감각과 유연한 사고 방식으로 자신만의 아름다움을 탄생시켜 나갑니다.
",HERE. NOW. MYSELF,,컨템포러리,센슈얼 누드 글로스,"피토스테롤, 달맞이꽃오일이 함유되어 입술 깊숙이 전달되는 풍부한 보습감, 멘톨 성분이 함유되어 바르는 순간 입술에 느껴지는 시원한 쿨링감","부드럽게 밀착되는 광택감의 글로스, 부드럽게 밀착되는 편안한 포뮬라, 투명하고 맑은 광택감과 부드러운 발림성으로 끈적임 없이 유리알처럼 연출되는 입술 볼륨감을 경험해 보세요"
헤라,,"지금 여기에서, 가장 나답게",,,,,
헤라,,서울 여성의 주체적이고 역동적인 아름다움과 삶의 태도,,,,,
라네즈,"“만약에”라는 질문을 통해 끝없는 호기심을 품고, 더 나은 스킨케어의 가능성에 대해 확신을 가지며, 아름다움의 경계를 계속해서 넓혀가고 있습니다",아름다움을 향한 끝없는 호기심,호기심 가득한,호기심,립 슬리핑 마스크,Berry Fruit Complex + Vitamin C의 강력한 항산화 효과로 입술 각질 매끈 케어 / 코코넛 오일과 시어 버터로 건조한 입술을 촉촉하게 보습 케어,"입술 각질, 꿀잠 자다 / 밤 사이 입술 각질을 부드럽게 녹여 매끈 탱탱한 입술로 가꾸어주는 립 슬리핑 마스크 / 마일드 포뮬러가 입술을 편안하게"
라네즈,"호기심. 이 짧은 단어 하나가 이전에 없던 스킨케어를 만듭니다. 우리를 놀라게 하고, 우리의 상상력을 자극하며, 우리의 마음을 엽니다. 그리고 마침내 누구도 한 적 없는 도전을 하게 만듭니다.",OPEN TO WONDER,혁신적인,보습,립 글로이 밤,,6가지 달콤상큼한 향으로 더욱 업그레이드 되어 취향에 맞게 골라 쓰는 립밤 / 데일리 보습케어 / 탱탱한 볼륨감 / 매끈촉촉 꿀광립 / 버터처럼 부드러운 입술 / 강력한 보습막에 유리알 광택까지 / 언제 어디서나 빛나고 촉촉한 입술 / 건조로 갈라진 입술 위에 보습충전
라네즈,호기심에는 힘이 있습니다. 복잡한 것을 쉽고 편하게 만드는 힘. 세상의 규칙으로부터 우리를 더욱 자유롭게 만드는 힘. 우리를 우리답게 만드는 힘,"호기심, 무한한 가능성을 담은 세 개의 글자",,,크림스킨 스페셜 기프트 세트,"세라펩타이드 크림을 스킨으로 녹여 보습은 물록 탄력, 장벽까지 케어하는 고보습 토너 / 고압의 블렌딩으로 세라펩타이드 크림을 1/300 단위로 쪼개어 스킨으로 안정화","크림을 토너에 녹여 가볍고도 깊게 천재적 보습 토너 / 겉부터 속까지 꽉 채우는 압도적인 보습력 / 각질은 잠재우고, 피부는 빛나게 / 어느 계절에나, 어떤 피부 타입도 사용 가능한 산뜻한 밀크 텍스쳐"
한율,한국의 로컬 성분이 가진 힘을 극대화하고 더 효과적으로 쓰일 수 있도록 발전시키는 것이 바로 한율의 시작입니다.,한국의 이로움으로 전하는 균형 잡힌 아름다움,한국적인,한국 로컬 원료,어린쑥 수분진정 크림,"한율 속건조 특효 성분 생쑥수분에센스 / 쑥 100%에서 뽑아 더 진한 보습액기스 / 한율 트러블 진정 특효 성분 쑥시카, 진정 강자 시카보다 3배 강한 진정 효과","트러블 고민이 있는 수부지를 위한 트러블 종결찐템 / 트러블 원인부터 증상까지 쑥으로 싹 / 속건조, 트러블, 흔적까지 케어하여 피부 고민 종결 / 쑥시카 수분크림의 폭발적인 수분의 힘으로 / 일상 속 지친 마음을 비우고 마음의 휴식을 채워주는 싱그러운 어린 쑥 향"
한율,과거부터 전해온 선조들의 노하우가?현대의 우리에게도 뛰어난 영감이자 솔루션이?될 수 있다고 믿기 때문입니다.,한국 로컬 원료의 이로움,과학적인,마이크로바이옴,자연을 닮은 립밤,,수채화 같은 자연스러운 발색으로 수분 머금은 듯 촉촉한 생기립밤 / 자연의 컬러를 담아낸 자연스러운 발색 / 끈적이지 않는 촉촉한 립케어 / 입술에 부드럽게 발리는 고보습 텍스처 / 묻어나지 않고 오래 지속되는 생기 입술
한율,"한국 로컬에서 피부를 위한 잠재력을 가진 식물을 찾아?힘을 극대화 하고, 더 효과적으로 쓰일 수 있도록?지속적인 연구를 통해 피부 건강에 유효한 성분을 찾습니다.","피부 스스로 강해질 수 있는 힘, 마이크로바이옴 과학",,쑥시카,어린쑥 수분진정 토너,진정 보습 효능의 생쑥진정수가 함유되어 촉촉하게 속수분을 채워줍니다 / 시카보다 4배 강한 쑥시카로 촉촉진정,진정으로 부드럽게 바를수록 탄탄하게 / ‘속부터 촘촘’하게 채우는 수분막 / 피부가 편안한 균형 잡힌 유수분 밸런스 / 바를수록 탄탄해지는 피부 방어력 / 산뜻하지만 속보습은 꽉 채워주는 토너
한율,근본을 관리하는 건강한 피부와 생활 태도로 균형 잡힌 K-heritage 클린 기능성 브랜드,"균형 잡힌 아름다움, Active Balanced Beauty",,수분진정,흰감국 광채 썬크림,"투명 광채 특효 성분 흰감국나이아신아마이드 / 칙칙한 피부를 맑고 화사하게 밝혀주는 한국 자연원료, 흰감국",빛나는 촉촉생기피부 / 효능은 더 강력하게 피부에는 순하게 / 피부에도 편안한 저자극 비건 포뮬러로 건강한 생기 광채
한율,한국의 발효 식문화에서?마이크로바이옴 과학의 실마리를 찾아 개발한?독자적 성분 Skin Balancer 피부 장벽을 강화하여?외부 자극에 맞서 스스로 강해질 수 있는 힘을 키워주는?한율 피부 과학의 결정체 입니다.,,,,,,
에스트라,일시적 윤기와 잠깐의 아름다움이 아닌 근본적인 피부의 건강과 개선을 의사와 함께 고민해나갑니다,Medi Becomes Beauty,과학적인,민감 피부,아토베리어 365 크림,민감 피부에 특화된 길고 촘촘한 고밀도 세라마이드,민감 피부에 특화된 고밀도 세라마이드로 더 강력해진 캡슐보습 / 시대가 바뀌면 보습도 달라져야 합니다 / 민감해질 수 밖에 없는 우리의 일상! 끊임없이 위협하는 유해환경과 수많은 외부 자극으로부터 피부를 보호할 수 있는 더 강력한 보습이 필요합니다
에스트라, 경험과 연구를 통해 건강한 아름다움을 구현하고 피부 고민 개선에 기여하는 것을 목표로 합니다.,,전문적인,피부 장벽,아토베리어 365 세라-히알 속수분 앰플,"피부 장벽을 강화하는 세라마이드와 피부 속까지 수분을 채워주는 히알루론산의 결합 / 세라마이드 결합 차세대 히알루론산, 세라-히알루론산 최초 적용","수분이 새나가는 민감피부엔 잠가주고 오래가는 세라-히알 / 수분은 채우는 것도 중요하지만 동시에 약해진 장벽을 강화해 공급된 수분 보유 능력을 높이는 게 중요합니다 /. 일 만에 민감 피부 수분 보유 능력, 수분 홀딩력까지 강화! / 눈으로 확인하는 촉촉하고 꽉찬 수분의 힘 / 바를수록 더 촉촉해지는 수분X장벽 시너지 효과"
에스트라,"민감 피부는 학술적으로 정의할 수 있는 질환이 아니라, 피부에 다양한 불편함을 느끼는 주관적인 느낌이자 멘탈적인 상태이기 때문에 그래서 에스트라는 스스로 민감 피부 전문가가 되기로 했습니다
",,,더마코스메틱,아토베리어 365 로션,민감 피부에 특화된 길고 촘촘한 고밀도 세라마이드,민감 피부에 특화된 고밀도 세라마이드로 더 강력해진 장벽보습 / 즉각적인 2배 장벽보습!
에스트라,,,,고밀도 세라마이드,,,
IOPE,바이오 사이언스 기술 : 27년간 이어온 연구 헤리티지 바탕으로 최신 바이오 기술로 확실하게 검증한 고효능 솔루션을 선사합니다,Clinical Level Tech로 눈에 보이는 변화를 주는 고효능 스킨케어 브랜드,전문적인,바이오 사이언스,슈퍼바이탈 기초 2종 세트,"노화에 직접 타겟팅하는 세노뮨, 즉각적이고 확실한 안티에이징 효과 선사 / 바이오셀리티노이드가 주름 개선과 미백 기능을 통합해 다양한 노화를 한번에, 효과적으로 개선해줍니다",스킨과 로션만으로도 풍부한 보습과 탄력을 채우는 1등 안티에이징 기초 세트 / 6세대 슈퍼바이탈이 제안하는 완전히 새로운 차원의 안티에이징 스킨케어 / 노화를 다루는 새로운 시선
IOPE,"A VISIBLE CHANGE 눈에 보이는 변화 : 혁신적인 효능 성분과 바이오 기술이 접목한 고효능 제품으로 눈에 띄게 달라지는 피부 변화를 느낄 수 있습니다
",본연의 아름다움과 자신감을 찾아 보다 건강하고 활력 넘치는 삶의 변화를 이끌어줍니다,과학적인,안티에이징,맨 올데이 퍼펙트 올인원 기획세트,BIO-DUAL ACTIVATOR의 강력한 항산화 효과 / 독자 성분인 TRX와 토코페롤 성분이 피부 컨디션을 끌어올려 활력 넘치는 피부 케어 / 나이아신아마이드로 피부톤 개선 / 아데노신으로 주름 개선 / 글리세린&베타인으로 수분 충전 / 실리카로 피지 정돈 / 페퍼민트 추출물로 피부 진정,환하고 생기있는 피부를 위한 피부 컨디션 케어 올인원 / 복합적인 남성 피부 고민을 한 번에 케어 / 매일 아침 달라지는 남자 피부
